modelo,tipo,tasks,terms,run,time_ms,status
threads,io,10,,1,101,ok
async,io,10,,1,107,ok
threads,io,10,,2,103,ok
async,io,10,,2,107,ok
threads,io,10,,3,101,ok
async,io,10,,3,103,ok
threads,io,100,,1,110,ok
async,io,100,,1,110,ok
threads,io,100,,2,104,ok
async,io,100,,2,116,ok
threads,io,100,,3,109,ok
async,io,100,,3,112,ok
threads,io,1000,,1,145,ok
async,io,1000,,1,104,ok
threads,io,1000,,2,137,ok
async,io,1000,,2,109,ok
threads,io,1000,,3,141,ok
async,io,1000,,3,106,ok
threads,io,10000,,1,541,ok
async,io,10000,,1,113,ok
threads,io,10000,,2,671,ok
async,io,10000,,2,118,ok
threads,io,10000,,3,661,ok
async,io,10000,,3,110,ok
threads,cpu,1,10000,1,1,ok
async,cpu,1,10000,1,0,ok
threads,cpu,1,10000,2,0,ok
async,cpu,1,10000,2,1,ok
threads,cpu,1,10000,3,0,ok
async,cpu,1,10000,3,0,ok
threads,cpu,1,1000000,1,3,ok
async,cpu,1,1000000,1,1,ok
threads,cpu,1,1000000,2,2,ok
async,cpu,1,1000000,2,1,ok
threads,cpu,1,1000000,3,1,ok
async,cpu,1,1000000,3,1,ok
threads,cpu,1,10000000,1,23,ok
async,cpu,1,10000000,1,15,ok
threads,cpu,1,10000000,2,15,ok
async,cpu,1,10000000,2,24,ok
threads,cpu,1,10000000,3,22,ok
async,cpu,1,10000000,3,15,ok
threads,cpu,2,10000,1,0,ok
async,cpu,2,10000,1,0,ok
threads,cpu,2,10000,2,0,ok
async,cpu,2,10000,2,0,ok
threads,cpu,2,10000,3,0,ok
async,cpu,2,10000,3,0,ok
threads,cpu,2,1000000,1,1,ok
async,cpu,2,1000000,1,1,ok
threads,cpu,2,1000000,2,1,ok
async,cpu,2,1000000,2,1,ok
threads,cpu,2,1000000,3,1,ok
async,cpu,2,1000000,3,1,ok
threads,cpu,2,10000000,1,9,ok
async,cpu,2,10000000,1,8,ok
threads,cpu,2,10000000,2,7,ok
async,cpu,2,10000000,2,10,ok
threads,cpu,2,10000000,3,8,ok
async,cpu,2,10000000,3,20,ok
threads,cpu,4,10000,1,0,ok
async,cpu,4,10000,1,0,ok
threads,cpu,4,10000,2,1,ok
async,cpu,4,10000,2,0,ok
threads,cpu,4,10000,3,0,ok
async,cpu,4,10000,3,0,ok
threads,cpu,4,1000000,1,1,ok
async,cpu,4,1000000,1,2,ok
threads,cpu,4,1000000,2,0,ok
async,cpu,4,1000000,2,1,ok
threads,cpu,4,1000000,3,1,ok
async,cpu,4,1000000,3,1,ok
threads,cpu,4,10000000,1,8,ok
async,cpu,4,10000000,1,9,ok
threads,cpu,4,10000000,2,5,ok
async,cpu,4,10000000,2,7,ok
threads,cpu,4,10000000,3,6,ok
async,cpu,4,10000000,3,9,ok
threads,cpu,8,10000,1,1,ok
async,cpu,8,10000,1,0,ok
threads,cpu,8,10000,2,0,ok
async,cpu,8,10000,2,0,ok
threads,cpu,8,10000,3,0,ok
async,cpu,8,10000,3,0,ok
threads,cpu,8,1000000,1,1,ok
async,cpu,8,1000000,1,1,ok
threads,cpu,8,1000000,2,1,ok
async,cpu,8,1000000,2,0,ok
threads,cpu,8,1000000,3,1,ok
async,cpu,8,1000000,3,0,ok
threads,cpu,8,10000000,1,38,ok
async,cpu,8,10000000,1,4,ok
threads,cpu,8,10000000,2,9,ok
async,cpu,8,10000000,2,6,ok
threads,cpu,8,10000000,3,5,ok
async,cpu,8,10000000,3,4,ok
threads,cpu,16,10000,1,1,ok
async,cpu,16,10000,1,0,ok
threads,cpu,16,10000,2,1,ok
async,cpu,16,10000,2,0,ok
threads,cpu,16,10000,3,1,ok
async,cpu,16,10000,3,0,ok
threads,cpu,16,1000000,1,1,ok
async,cpu,16,1000000,1,0,ok
threads,cpu,16,1000000,2,1,ok
async,cpu,16,1000000,2,0,ok
threads,cpu,16,1000000,3,0,ok
async,cpu,16,1000000,3,0,ok
threads,cpu,16,10000000,1,3,ok
async,cpu,16,10000000,1,3,ok
threads,cpu,16,10000000,2,3,ok
async,cpu,16,10000000,2,4,ok
threads,cpu,16,10000000,3,4,ok
async,cpu,16,10000000,3,4,ok
threads,cpu,100,100000,1,7,ok
async,cpu,100,100000,1,1,ok
threads,cpu,100,100000,2,6,ok
async,cpu,100,100000,2,1,ok
threads,cpu,100,100000,3,8,ok
async,cpu,100,100000,3,2,ok
threads,cpu,500,100000,1,23,ok
async,cpu,500,100000,1,2,ok
threads,cpu,500,100000,2,22,ok
async,cpu,500,100000,2,3,ok
threads,cpu,500,100000,3,27,ok
async,cpu,500,100000,3,3,ok
threads,cpu,1000,100000,1,65,ok
async,cpu,1000,100000,1,7,ok
threads,cpu,1000,100000,2,54,ok
async,cpu,1000,100000,2,4,ok
threads,cpu,1000,100000,3,52,ok
async,cpu,1000,100000,3,8,ok
threads,cpu,2000,100000,1,81,ok
async,cpu,2000,100000,1,9,ok
threads,cpu,2000,100000,2,110,ok
async,cpu,2000,100000,2,8,ok
threads,cpu,2000,100000,3,105,ok
async,cpu,2000,100000,3,10,ok
threads,cpu,10000,1000000,1,590,ok
async,cpu,10000,1000000,1,43,ok
threads,cpu,10000,1000000,2,481,ok
async,cpu,10000,1000000,2,37,ok
threads,cpu,10000,1000000,3,431,ok
async,cpu,10000,1000000,3,33,ok
threads,cpu,100000,1000000,1,4416,ok
async,cpu,100000,1000000,1,243,ok
threads,cpu,100000,1000000,2,4120,ok
async,cpu,100000,1000000,2,318,ok
threads,cpu,100000,1000000,3,5012,ok
async,cpu,100000,1000000,3,350,ok
